timestamp,event,details
2025-11-22 23:23:30,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""basketball_ncaab"", ""americanfootball_ncaaf"", ""americanfootball_nfl"", ""basketball_nba"", ""icehockey_nhl""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%""}"
2025-11-22 23:24:41,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""icehockey_nhl"", ""basketball_nba"", ""americanfootball_nfl"", ""basketball_ncaab"", ""americanfootball_ncaaf""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%""}"
2025-11-22 23:26:22,NO_NEXT_EVENT,Sleeping 4 min
2025-11-22 23:31:58,NO_NEXT_EVENT,Sleeping 4 min
2025-11-22 23:37:35,NO_NEXT_EVENT,Sleeping 4 min
2025-11-22 23:43:12,NO_NEXT_EVENT,Sleeping 4 min
2025-11-22 23:48:49,NO_NEXT_EVENT,Sleeping 4 min
2025-11-22 23:54:26,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 00:00:04,NO_NEXT_EVENT,Sleeping 4 min
2025-11-23 00:04:04,DAILY_BACKUP_FAILED,Backup creation returned None
2025-11-23 00:05:33,SCHEDULER_STOPPED,User interrupted
