game_id,home_team,away_team,market,outcomes,bookmakers,percent_profit,commence_time,sport
afc47a0aae772c23a3c9b8a75f743291,Philadelphia 76ers,Miami Heat,h2h,"{'Miami Heat': 1.56, 'Philadelphia 76ers': 3.65}","{'Miami Heat': 'unibet', 'Philadelphia 76ers': 'pinnacle'}",8.5,2025-11-23T18:10:00Z,Unknown
9483e419de3f41e40987f96a2792c715,Buffalo Sabres,Carolina Hurricanes,spreads,"{'Buffalo Sabres': 1.8, 'Carolina Hurricanes': 2.6}","{'Buffalo Sabres': 'coolbet', 'Carolina Hurricanes': 'pinnacle'}",5.98,2025-11-23T18:08:14Z,Unknown
9483e419de3f41e40987f96a2792c715,Buffalo Sabres,Carolina Hurricanes,totals,"{'Over': 2.1, 'Under': 2.21}","{'Over': 'unibet', 'Under': 'pinnacle'}",7.13,2025-11-23T18:08:14Z,Unknown
afc47a0aae772c23a3c9b8a75f743291,Philadelphia 76ers,Miami Heat,h2h,"{'Miami Heat': 1.57, 'Philadelphia 76ers': 3.65}","{'Miami Heat': 'unibet', 'Philadelphia 76ers': 'pinnacle'}",8.91,2025-11-23T18:10:00Z,Unknown
9483e419de3f41e40987f96a2792c715,Buffalo Sabres,Carolina Hurricanes,spreads,"{'Buffalo Sabres': 1.8, 'Carolina Hurricanes': 2.6}","{'Buffalo Sabres': 'coolbet', 'Carolina Hurricanes': 'pinnacle'}",5.98,2025-11-23T18:08:14Z,Unknown
9483e419de3f41e40987f96a2792c715,Buffalo Sabres,Carolina Hurricanes,totals,"{'Over': 2.1, 'Under': 2.21}","{'Over': 'unibet', 'Under': 'pinnacle'}",7.13,2025-11-23T18:08:14Z,Unknown
afc47a0aae772c23a3c9b8a75f743291,Philadelphia 76ers,Miami Heat,h2h,"{'Miami Heat': 1.83, 'Philadelphia 76ers': 2.63}","{'Miami Heat': 'unibet', 'Philadelphia 76ers': 'pinnacle'}",7.33,2025-11-23T18:10:00Z,Unknown
9483e419de3f41e40987f96a2792c715,Buffalo Sabres,Carolina Hurricanes,spreads,"{'Buffalo Sabres': 1.8, 'Carolina Hurricanes': 2.6}","{'Buffalo Sabres': 'coolbet', 'Carolina Hurricanes': 'pinnacle'}",5.98,2025-11-23T18:08:14Z,Unknown
9483e419de3f41e40987f96a2792c715,Buffalo Sabres,Carolina Hurricanes,totals,"{'Over': 1.85, 'Under': 2.21}","{'Over': 'unibet', 'Under': 'pinnacle'}",0.7,2025-11-23T18:08:14Z,Unknown
fde2c32bb935ab51ed460435fa77c373,Winnipeg Jets,Minnesota Wild,totals,"{'Over': 2.05, 'Under': 2.1}","{'Over': 'betonlineag', 'Under': 'unibet'}",3.6,2025-11-23T21:00:00Z,Unknown
afc47a0aae772c23a3c9b8a75f743291,Philadelphia 76ers,Miami Heat,h2h,h2h,"{'Miami Heat': 1.56, 'Philadelphia 76ers': 3.75}","{'Miami Heat': 'pinnacle', 'Philadelphia 76ers': 'coolbet'}",9.23,2025-11-23T18:10:00Z,Unknown
9483e419de3f41e40987f96a2792c715,Buffalo Sabres,Carolina Hurricanes,spreads,spreads,"{'Buffalo Sabres': 2.25, 'Carolina Hurricanes': 2.03}","{'Buffalo Sabres': 'coolbet', 'Carolina Hurricanes': 'pinnacle'}",6.29,2025-11-23T18:08:14Z,Unknown
9483e419de3f41e40987f96a2792c715,Buffalo Sabres,Carolina Hurricanes,totals,totals,"{'Over': 2.14, 'Under': 2.24}","{'Over': 'unibet', 'Under': 'pinnacle'}",8.63,2025-11-23T18:08:14Z,Unknown
fde2c32bb935ab51ed460435fa77c373,Winnipeg Jets,Minnesota Wild,totals,totals,"{'Over': 2.05, 'Under': 2.1}","{'Over': 'betonlineag', 'Under': 'unibet'}",3.6,2025-11-23T21:00:00Z,Unknown
9aeb9f37ee8398f05aeb7a3719b520b1,New York Islanders,Seattle Kraken,totals,totals,"{'Over': 2.0, 'Under': 2.12}","{'Over': 'pinnacle', 'Under': 'unibet'}",2.83,2025-11-23T22:10:00Z,Unknown
0a1dbaca1301e9f16498c5508151c951,San Jose Sharks,Boston Bruins,totals,totals,"{'Over': 2.07, 'Under': 1.99}","{'Over': 'sportsbet', 'Under': 'pinnacle'}",1.44,2025-11-24T01:10:00Z,Unknown
fde2c32bb935ab51ed460435fa77c373,Winnipeg Jets,Minnesota Wild,spreads,spreads,"{'Minnesota Wild': 1.6, 'Winnipeg Jets': 3.1}","{'Minnesota Wild': 'coolbet', 'Winnipeg Jets': 'bovada'}",5.24,2025-11-23T21:14:00Z,Unknown
fde2c32bb935ab51ed460435fa77c373,Winnipeg Jets,Minnesota Wild,totals,totals,"{'Over': 2.04, 'Under': 2.2}","{'Over': 'unibet', 'Under': 'pinnacle'}",5.53,2025-11-23T21:14:00Z,Unknown
9aeb9f37ee8398f05aeb7a3719b520b1,New York Islanders,Seattle Kraken,totals,totals,"{'Over': 2.01, 'Under': 2.12}","{'Over': 'betonlineag', 'Under': 'unibet'}",3.08,2025-11-23T22:10:00Z,Unknown
0a1dbaca1301e9f16498c5508151c951,San Jose Sharks,Boston Bruins,totals,totals,"{'Over': 2.06, 'Under': 1.99}","{'Over': 'sportsbet', 'Under': 'pinnacle'}",1.21,2025-11-24T01:10:00Z,Unknown
1ab28325ab9164c37591bf692f3017bf,Vancouver Canucks,Calgary Flames,totals,totals,"{'Over': 2.05, 'Under': 2.11}","{'Over': 'unibet', 'Under': 'sportsbet'}",3.83,2025-11-24T02:10:00Z,Unknown
